detector,descriptor,image_id, ttc
FAST,BRIEF,0,nan
FAST,BRIEF,1,11.232001
FAST,BRIEF,2,6.296819
FAST,BRIEF,3,10.590500
FAST,BRIEF,4,11.390553
FAST,BRIEF,5,9.584547
FAST,BRIEF,6,11.544229
FAST,BRIEF,7,10.848678
FAST,BRIEF,8,8.113927
FAST,BRIEF,9,nan
FAST,BRIEF,10,9.126375
FAST,BRIEF,11,11.202542
FAST,BRIEF,12,13.950224
FAST,BRIEF,13,10.341041
FAST,BRIEF,14,11.175613
FAST,BRIEF,15,10.503792
FAST,BRIEF,16,8.790002
FAST,BRIEF,17,9.820577
FAST,BRIEF,18,10.849686
BRISK,BRIEF,0,nan
BRISK,BRIEF,1,10.694109
BRISK,BRIEF,2,9.475376
BRISK,BRIEF,3,8.306996
BRISK,BRIEF,4,18.842510
BRISK,BRIEF,5,15.152951
BRISK,BRIEF,6,35.727832
BRISK,BRIEF,7,17.952631
BRISK,BRIEF,8,14.350722
BRISK,BRIEF,9,98.722164
BRISK,BRIEF,10,14.655175
BRISK,BRIEF,11,258.331563
BRISK,BRIEF,12,16.208728
BRISK,BRIEF,13,8.968567
BRISK,BRIEF,14,9.380489
BRISK,BRIEF,15,4.213174
BRISK,BRIEF,16,12.244081
BRISK,BRIEF,17,9.057537
BRISK,BRIEF,18,8.247874
ORB,BRIEF,0,nan
ORB,BRIEF,1,9.452684
ORB,BRIEF,2,nan
ORB,BRIEF,3,nan
ORB,BRIEF,4,100.447424
ORB,BRIEF,5,49.911511
ORB,BRIEF,6,nan
ORB,BRIEF,7,nan
ORB,BRIEF,8,nan
ORB,BRIEF,9,nan
ORB,BRIEF,10,174.515745
ORB,BRIEF,11,4.108013
ORB,BRIEF,12,nan
ORB,BRIEF,13,4.629087
ORB,BRIEF,14,nan
ORB,BRIEF,15,nan
ORB,BRIEF,16,nan
ORB,BRIEF,17,nan
ORB,BRIEF,18,8.459998
AKAZE,BRIEF,0,nan
AKAZE,BRIEF,1,15.787144
AKAZE,BRIEF,2,36.681913
AKAZE,BRIEF,3,17.419237
AKAZE,BRIEF,4,9.476159
AKAZE,BRIEF,5,21.341240
AKAZE,BRIEF,6,17.551460
AKAZE,BRIEF,7,48.086172
AKAZE,BRIEF,8,36.302544
AKAZE,BRIEF,9,26.006420
AKAZE,BRIEF,10,29.189771
AKAZE,BRIEF,11,11.233607
AKAZE,BRIEF,12,12.620589
AKAZE,BRIEF,13,9.349415
AKAZE,BRIEF,14,13.560655
AKAZE,BRIEF,15,7.171472
AKAZE,BRIEF,16,15.214384
AKAZE,BRIEF,17,9.891369
AKAZE,BRIEF,18,19.680725
SIFT,BRIEF,0,nan
SIFT,BRIEF,1,20.766778
SIFT,BRIEF,2,14.632765
SIFT,BRIEF,3,12.600409
SIFT,BRIEF,4,17.788324
SIFT,BRIEF,5,15.116523
SIFT,BRIEF,6,15.146052
SIFT,BRIEF,7,14.179252
SIFT,BRIEF,8,22.653604
SIFT,BRIEF,9,12.164747
SIFT,BRIEF,10,12.882902
SIFT,BRIEF,11,8.364485
SIFT,BRIEF,12,35.633303
SIFT,BRIEF,13,12.278101
SIFT,BRIEF,14,30.604308
SIFT,BRIEF,15,11.600759
SIFT,BRIEF,16,8.015085
SIFT,BRIEF,17,10.922641
SIFT,BRIEF,18,11.646612
FAST,ORB,0,nan
FAST,ORB,1,11.234755
FAST,ORB,2,11.181310
FAST,ORB,3,19.146320
FAST,ORB,4,10.817038
FAST,ORB,5,9.637307
FAST,ORB,6,9.892764
FAST,ORB,7,11.283127
FAST,ORB,8,nan
FAST,ORB,9,8.725538
FAST,ORB,10,9.383316
FAST,ORB,11,10.361691
FAST,ORB,12,22.700440
FAST,ORB,13,10.265382
FAST,ORB,14,9.282881
FAST,ORB,15,nan
FAST,ORB,16,13.817578
FAST,ORB,17,7.471495
FAST,ORB,18,204.795442
BRISK,ORB,0,nan
BRISK,ORB,1,12.190353
BRISK,ORB,2,19.967855
BRISK,ORB,3,192.743039
BRISK,ORB,4,16.246609
BRISK,ORB,5,30.108349
BRISK,ORB,6,20.988938
BRISK,ORB,7,14.358395
BRISK,ORB,8,14.535291
BRISK,ORB,9,15.473666
BRISK,ORB,10,3.647643
BRISK,ORB,11,12.954948
BRISK,ORB,12,65.099274
BRISK,ORB,13,7.457490
BRISK,ORB,14,5.329160
BRISK,ORB,15,34.204940
BRISK,ORB,16,15.426461
BRISK,ORB,17,7.118143
BRISK,ORB,18,10.696271
ORB,ORB,0,nan
ORB,ORB,1,8.259596
ORB,ORB,2,nan
ORB,ORB,3,nan
ORB,ORB,4,8.879248
ORB,ORB,5,8.080960
ORB,ORB,6,nan
ORB,ORB,7,nan
ORB,ORB,8,nan
ORB,ORB,9,nan
ORB,ORB,10,nan
ORB,ORB,11,16.869719
ORB,ORB,12,nan
ORB,ORB,13,9.180442
ORB,ORB,14,nan
ORB,ORB,15,8.034895
ORB,ORB,16,23.774166
ORB,ORB,17,11.931579
ORB,ORB,18,11.196871
AKAZE,ORB,0,nan
AKAZE,ORB,1,11.309561
AKAZE,ORB,2,18.971726
AKAZE,ORB,3,21.377102
AKAZE,ORB,4,24.196733
AKAZE,ORB,5,14.699238
AKAZE,ORB,6,41.022998
AKAZE,ORB,7,30.016262
AKAZE,ORB,8,13.828068
AKAZE,ORB,9,31.083511
AKAZE,ORB,10,21.489399
AKAZE,ORB,11,11.601656
AKAZE,ORB,12,16.864073
AKAZE,ORB,13,13.623213
AKAZE,ORB,14,27.687237
AKAZE,ORB,15,11.031471
AKAZE,ORB,16,8.663637
AKAZE,ORB,17,11.359588
AKAZE,ORB,18,16.739000
SIFT,ORB,0,nan
SIFT,ORB,1,18.688148
SIFT,ORB,2,21.687883
SIFT,ORB,3,22.160900
SIFT,ORB,4,27.038198
SIFT,ORB,5,9.561406
SIFT,ORB,6,6.569574
SIFT,ORB,7,21.212633
SIFT,ORB,8,15.054897
SIFT,ORB,9,382.457301
SIFT,ORB,10,11.333345
SIFT,ORB,11,12.246496
SIFT,ORB,12,22.432117
SIFT,ORB,13,12.680498
SIFT,ORB,14,8.992116
SIFT,ORB,15,25.662754
SIFT,ORB,16,10.513886
